,surface_x,surface_y,bh_x,bh_y,standardized_operator_name,gross_perforated_length,number_of_stages,total_proppant,total_fluid,true_vertical_depth,ffs_frac_type,proppant_intensity,frac_fluid_intensity,average_stage_length,average_proppant_per_stage,average_frac_fluid_per_stage,proppant_to_frac_fluid_ratio,frac_fluid_to_proppant_ratio,bin_lateral_length,pad_id,relative_well_position,batch_frac_classification,well_family_relationship,frac_type,frac_seasoning,horizontal_midpoint_x,horizontal_midpoint_y,horizontal_toe_x,horizontal_toe_y
29437,947147.1748,1035962.615,953396.0947,1032855.27,1018,6370.07874,13.0,360142.8571,2049015.067,8337.598425,Slickwater Crosslink Hybrid,56.53664136,321.6624395,326.6202302,19193.02198,62820.06192000001,0.1757638889999999,5.689450801,1.5,112159,Outer Well,Non-Batch Frac,Sibling Well,Primary Frac,60.0,950652.9334,1034227.679,953396.7299,1032858.035
29438,955677.5229,1046163.699,950265.0303,1048815.456,1018,5244.094488000001,13.0,376714.2857,1876123.612,8808.070866,Slickwater Crosslink Hybrid,71.83590734,357.75930739999995,326.6202302,19193.02198,62820.06192000001,0.200793958,4.980229533999999,1.0,103362,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,6.0,952697.5169,1047650.652,950263.6479,1048816.415
29439,954696.7455,1045332.222,948091.9154,1048609.702,1018,6694.88189,13.0,438285.7143,2773869.727,8638.779528000001,Slickwater Crosslink Hybrid,65.46578737,414.3269101,326.6202302,19193.02198,62820.06192000001,0.158005154,6.32890746,1.5,109543,Outer Well,Non-Batch Frac,Infill Child Well,Primary Frac,29.0,951017.5174,1047161.324,948094.3009,1048611.38
29441,958031.7779,1040111.409,948091.9154,1048609.702,1018,6694.88189,13.0,438285.7143,2773869.727,8536.417323,Slickwater Crosslink Hybrid,65.46578737,414.3269101,326.6202302,19193.02198,62820.06192000001,0.158005154,6.32890746,1.5,104643,Standalone Well,Unknown,Standalone Well,Primary Frac,29.0,959098.6304,1039881.055,959379.3218,1039778.224
29442,967972.6,1038411.501,964095.0748,1040346.08,1018,2520.669291,13.0,273857.1429,1340587.457,8668.307087000001,Slickwater Crosslink Hybrid,108.6446143,531.837898,326.6202302,19193.02198,62820.06192000001,0.204281445,4.8952072,1.0,107027,Standalone Well,Unknown,Standalone Well,Primary Frac,29.0,965562.2003,1039613.686,964095.169,1040346.493
29443,942302.5784,938743.9268,938234.7613,940735.9205,1272,4371.062992,13.0,141285.7143,1131872.175,11639.76378,Crosslink Only,32.32296458,258.94666290000004,326.6202302,19193.02198,62820.06192000001,0.1248247969999999,8.011228742,1.0,108183,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,14.0,939935.907,939943.6049,938233.4586,940735.4831
29444,1019056.633,1057818.8909999998,1023353.235,1055909.987,1164,3820.866142,13.0,239000.0,1752182.271,7029.527559,Crosslink Only,62.55126224,458.58248,326.6202302,19193.02198,62820.06192000001,0.136401334,7.331306574,1.0,111262,Standalone Well,Unknown,Standalone Well,Primary Frac,14.0,1021433.461,1056793.169,1023351.991,1055911.203
29445,960202.8919,1044978.359,964219.1395,1043037.652,1018,3569.88189,13.0,362000.0,1676984.01,8690.944882,Slickwater Crosslink Hybrid,101.4039151,469.7589616,326.6202302,19193.02198,62820.06192000001,0.215863716,4.632552513,1.0,105761,Outer Well,Batch-Sequential Frac,Sibling Well,Primary Frac,8.0,962636.5144,1043815.74,964220.6519,1043036.141
29446,964436.2031,1031269.94,959966.4628,1033473.233,1018,4080.708661,13.0,347857.1429,1593573.699,8555.11811,Slickwater Crosslink Hybrid,85.24429743,390.51396,326.6202302,19193.02198,62820.06192000001,0.218287452,4.581115356000001,1.0,103066,Inner Well,Batch-Sequential Frac,Sibling Well,Primary Frac,27.0,961830.2472,1032554.495,959965.2905,1033475.617
29447,965074.3133,1032559.224,959627.2788,1035254.508,1018,5332.677165,13.0,368857.1429,1829619.176,8559.055118,Slickwater Crosslink Hybrid,69.16922428,343.09580710000006,326.6202302,19193.02198,62820.06192000001,0.201603234,4.96023789,1.0,105867,Inner Well,Batch-Sequential Frac,Infill Child Well,Primary Frac,15.0,962018.2593,1034119.041,959624.5015,1035256.604
29448,939995.4848,921648.6836,935761.8481,923741.817,1049,4246.062992,13.0,249509.2857,816660.805,11475.3937,Slickwater Crosslink Hybrid,58.76250215,192.3336527,326.6202302,19193.02198,62820.06192000001,0.305523767,3.273067784,1.0,116079,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,63.0,937786.8756,922804.4861,935766.6488,923738.7873
29449,940001.8338,921666.5968,944805.1005,919372.6396,1049,4906.4960630000005,13.0,214428.5714,1327389.205,11555.11811,Slickwater Crosslink Hybrid,43.702994700000005,270.5370978,326.6202302,19193.02198,62820.06192000001,0.1615415969999999,6.190356055,1.0,116079,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,67.0,942657.405,920348.8949,944804.7999,919371.1144
29450,1079162.467,1063617.366,1074947.446,1065504.493,1028,2374.0157480000003,13.0,89714.28571,1386899.25,6977.362204999999,Slickwater Crosslink Hybrid,37.79009713,584.1996842,326.6202302,19193.02198,62820.06192000001,0.064686952,15.45906808,0.0,109587,Standalone Well,Unknown,Standalone Well,Primary Frac,67.0,1077094.907,1064549.845,1075835.704,1065097.038
29451,1074111.208,1063347.4840000002,1069149.976,1065528.24,1028,4559.055118,13.0,468428.5714,1649547.16,7067.913386,Slickwater Crosslink Hybrid,102.7468542,361.8177709,326.6202302,19193.02198,62820.06192000001,0.28397404,3.521448649,1.0,106783,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,90.0,1071407.7340000002,1064638.678,1069146.944,1065529.45
29452,948858.4332,926671.976,953235.2223,924503.9521,1343,4855.314961,13.0,420000.0,1782500.2759999998,11827.75591,Slickwater Only,86.50314209999999,367.1235111,326.6202302,19193.02198,62820.06192000001,0.2356240869999999,4.244048276,1.0,114773,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,6.0,951480.9338,925435.8382,953411.0887,924407.0592
29453,959761.1822,1045627.671,955373.5608,1047377.084,1018,4172.244094,13.0,411857.1429,2348079.863,8755.905512000001,Slickwater Crosslink Hybrid,98.713578,562.7858318,326.6202302,19193.02198,62820.06192000001,0.175401676,5.701199807,1.0,103187,Outer Well,Non-Batch Frac,Infill Child Well,Primary Frac,42.0,957192.7663,1046482.209,955373.0446,1047378.316
29454,947789.7165,1017098.726,950744.2192,1015621.425,1272,2769.685039,13.0,411857.1429,1085.000168,4482.283465,Slickwater Only,98.713578,0.391741354,326.6202302,19193.02198,62820.06192000001,0.175401676,5.701199807,1.0,110895,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,42.0,949515.4735,1016237.028,950744.4316,1015619.222
