,surface_x,surface_y,bh_x,bh_y,standardized_operator_name,gross_perforated_length,number_of_stages,total_proppant,total_fluid,true_vertical_depth,ffs_frac_type,proppant_intensity,frac_fluid_intensity,average_stage_length,average_proppant_per_stage,average_frac_fluid_per_stage,proppant_to_frac_fluid_ratio,frac_fluid_to_proppant_ratio,bin_lateral_length,pad_id,relative_well_position,batch_frac_classification,well_family_relationship,frac_type,frac_seasoning,horizontal_midpoint_x,horizontal_midpoint_y,horizontal_toe_x,horizontal_toe_y,OilPeakRate
0,1383493.751,717329.2368,1382854.564,712767.37,1121,3963.582677,,76000,,8712.598425,,19.17457164,,,,,,,1,102604,Standalone Well,Unknown,Standalone Well,Primary Frac,,1383030.678,714796.361,1382668.912,712798.4321,46.62302309
1,1380344.035,711916.2732,1379738.429,707860.5643,1022,3179.133858,,113000,561096.3964,8627.952756,,35.54427245,176.4934795,,,,0.20139142,4.965454835,1,108497,Outer Well,Unknown,Infill Child Well,Primary Frac,,1379965.126,709541.7145,1379630.025,707907.6708,59.75000925
2,1379915.895,717845.0063,1379274.644,713471.9952,1304,3810.03937,12,286571.4286,1621423.513,8801.181102,,75.21482083,425.5660783,317.5032808,23880.95238,135118.6261,0.17674064,5.65800827,1,108526,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,92,1379357.25,715381.2327,1378960.372,713530.449,10.78571595
3,1383567.443,706640.201,1382891.477,702068.3838,1022,3723.425197,11,106878.9286,437713.4249,8635.826772,,28.70446509,117.5566587,338.4931997,9716.266234,39792.12953,0.244175578,4.095413668,1,105631,Standalone Well,Unknown,Standalone Well,Primary Frac,,1383099.61,704058.8508,1382727.299,702098.4882,123.7976382
4,1378962.585,702623.9787,1379643.546,707204.9131,1022,3811.023622,,112789.7143,622980.1559,8664.370079,,29.59564817,163.4679335,,,,0.181048647,5.523377374,1,103717,Outer Well,Unknown,Infill Child Well,Primary Frac,,1379546.414,705150.7519,1379987.487,707123.7258,102.3095396
5,1381250.408,702293.2344,1381927.722,706874.3795,1022,3536.417323,,93000,563885.6587,8668.307087,,26.29780128,159.4511075,,,,0.164927053,6.063286653,1,112397,Inner Well,Unknown,Infill Child Well,Primary Frac,,1382166.864,704872.4045,1382717.737,706720.3298,98.63096765
6,1387300.731,706766.1052,1387980.935,711336.8008,1349,4575.787402,10,140558.1429,847944.2384,8711.614173,,30.7178045,185.3111091,457.5787402,14055.81429,84794.42384,0.165763427,6.03269381,1,113367,Standalone Well,Unknown,Standalone Well,Primary Frac,,1387788.248,709283.6808,1388174.673,711314.474,123.286527
7,1388889.586,706536.157,1388895.735,706578.6413,1349,4673.228346,,91142.85714,609599.5943,8704.724409,,19.50318931,130.4450691,,,,0.14951266,6.688396803,1,116673,Standalone Well,Unknown,Standalone Well,Primary Frac,,1389357.383,709030.8139,1389741.421,711055.9529,136.2143068
8,1390235.998,706384.6691,1390892.595,710868.5348,1349,4497.047244,,89857.14286,636864.0986,8700.787402,,19.9813651,141.6182806,,,,0.14109312,7.08751779,1,104220,Outer Well,Unknown,Infill Child Well,Primary Frac,,1390647.333,708858.2914,1391052.609,710830.3507,181.2762185
9,1370168.15,687892.5052,1370820.24,692441.3252,1349,4095.472441,,90714.28571,645947.1,8624.015748,,22.14989529,157.7222431,,,,0.140436091,7.120676693,1,113216,Outer Well,Unknown,Infill Child Well,Primary Frac,,1370663.579,690453.3355,1371137.329,692373.4091,70.76191571
10,1371482.623,687749.5863,1372131.728,692252.1681,1349,4555.11811,,,559791.0747,8586.614173,,,122.8927684,,,,,,1,102697,Standalone Well,Unknown,Standalone Well,Primary Frac,,1371963.878,690258.8337,1372271.125,692250.6863,88.17779142
11,1378206.882,697393.7753,1378892.146,701958.596,1349,4726.377953,,95767.92857,661375.1381,8639.76378,,20.26243553,139.9327656,,,,0.144801223,6.906019039,1,100930,Outer Well,Unknown,Sibling Well,Primary Frac,,1378650.099,699753.5269,1379056.999,701927.9248,208.4258259
12,1380287.724,702503.6795,1381269.287,706975.8566,1022,3338.582677,11,130063.1429,686340.1062,8666.338583,,38.95759232,205.5782865,303.5075161,11823.92208,62394.55511,0.189502466,5.276976176,1,114221,Outer Well,Unknown,Sibling Well,Primary Frac,,1380950.016,705038.8183,1381428.078,706932.7923,82.86906044
13,1377669.229,702913.2241,1378341.183,707380.9763,1022,3700.787402,,,590513.9247,8643.700787,,,159.5644009,,,,,,1,103308,Outer Well,Unknown,Infill Child Well,Primary Frac,,1378205.553,705432.1033,1378654.027,707380.5969,87.55337972
14,1365743.664,693173.5244,1364972.809,688693.8164,1349,4525.590551,,,407092.063,8564.96063,,,89.95335711,,,,,,1,102008,Standalone Well,Unknown,Standalone Well,Primary Frac,,1365263.847,690738.1419,1364812.815,688724.7632,95.88096722
15,1377550.655,702118.4154,1376922.825,697594.6997,1349,4616.141732,,,575935.0653,8624.015748,,,124.765464,,,,,,1,106368,Outer Well,Unknown,Sibling Well,Primary Frac,,1377183.555,699739.4783,1376760.782,697621.6015,175.5217108
16,1375960.479,702338.9719,1375313.098,697858.151,1349,4242.125984,,,,8615.15748,,,,,,,,,1,102446,Outer Well,Unknown,Sibling Well,Primary Frac,,1375574.975,699967.1585,1375163.738,697883.8492,60.16667598
17,1377352.176,707536.4878,1376359.294,703062.3127,1022,3596.456693,,110714.2857,597060.8305,8624.015748,,30.78426773,166.0136299,,,,0.18543217,5.392807501,1,101023,Standalone Well,Unknown,Standalone Well,Primary Frac,,1375027.144,699665.1543,1374601.89,698249.0637,93.01231598
18,1379795.783,697164.3235,1380437.342,701732.1434,1349,4672.244094,,94998.78571,616264.5954,8629.92126,,20.3325819,131.8990581,,,,0.154152594,6.487078658,1,100221,Standalone Well,Unknown,Standalone Well,Primary Frac,,1380219.962,699615.0431,1380604.2,701703.3509,54.92857993
19,1375260.279,702533.1604,1374602.008,697951.5423,1008,4012.795276,11,,588163.091,8617.125984,,,146.5719157,364.7995705,,53469.37191,,,1,114355,Inner Well,Unknown,Infill Child Well,Primary Frac,,1374779.66,699937.8923,1374434.797,697981.9136,72.41667787
20,1373273.164,698096.9514,1373922.933,702670.6834,1008,3739.173228,10,,452662.0701,8691.929134,,,121.0594007,373.9173228,,45266.20701,,,1,106080,Standalone Well,Unknown,Standalone Well,Primary Frac,,1373718.748,700652.692,1374087.029,702642.9174,63.11905739
21,1374456.74,691873.4428,1378985.749,691220.2255,1349,4642.716535,,85610.35714,594318.8063,8555.11811,,18.43971229,128.0110043,,,,0.144047868,6.942136747,1,106030,Standalone Well,Unknown,Standalone Well,Primary Frac,,1376913.871,691425.6657,1378944.957,691068.333,133.4107349
22,1385671.63,717128.0484,1384747.924,712455.8676,1121,4312.007874,15,100025.9286,,8705.708661,,23.19706538,,287.4671916,6668.395238,,,,1,107996,Standalone Well,Unknown,Standalone Well,Primary Frac,,1384833.774,714584.8294,1384581.136,712495.3708,31.7996081
23,1370738.134,693274.5081,,,1349,4354.330709,,202714.2857,,8649.606299,,46.55463704,,,,,,,1,111574,Standalone Well,Unknown,Standalone Well,Primary Frac,,1371282.441,695741.0041,1371725.34,697637.9475,20.64286034
24,1372886.388,697430.6596,,,1349,4746.062992,,87285.71429,684340.6059,8598.425197,,18.39118327,144.1912185,,,,0.12754718,7.840236074,1,103966,Standalone Well,Unknown,Standalone Well,Primary Frac,,1372462.442,694979.8194,1372081.474,692942.9084,76.35715467
25,1374463.494,697221.5403,1373821.808,692724.3017,1349,4697.834646,,95323.07143,609197.3324,8588.582677,,20.29085283,129.6761973,,,,0.156473225,6.390869736,1,100770,Standalone Well,Unknown,Standalone Well,Primary Frac,,1374036.872,694792.727,1373662.483,692747.4326,178.6905038
26,1362967.634,667585.4858,1363616.117,672129.1997,1008,3459.645669,,,,8899.606299,,,,,,,,,1,100514,Standalone Well,Unknown,Standalone Well,Primary Frac,,1363442.807,670214.6984,1363777.832,672100.8183,9.30952525
